C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-3.6502738181828085,-3.933469920134267,-5.5894236905451065,-6.058193368169392,-3.717314990518225,-5.990517415974071,-3.624658379613714,-3.6818074358048642,-3.6500717814576573,-3.6536118024782724,-3.9613373095470177,-3.9217838291863507,-3.715578746327442,-3.8636024035542302,-3.5607273390394876,-3.824445541022533,-3.507824219676382,-3.911203052369934,62
-3.6833614412146245,-4.159762686557406,-5.3797437745724,-5.757159471865125,-3.7335319176360557,-5.716204917728868,-3.6570866836117903,-3.6876747392133016,-3.671810568274712,-3.664889953825559,-4.173976506237397,-4.132981074353246,-3.9089660134453714,-4.088035695722908,-3.7287869822686672,-4.012261281787357,-3.5130928582321257,-3.933498315958804,63
-3.723539269181831,-4.434546760071216,-5.125132448034119,-5.391618312067092,-3.7532239005648513,-5.3831111698596965,-3.6964639098951686,-3.6947993219235475,-3.6982076665525643,-3.678584851890122,-4.432181245075713,-4.3894348720559035,-4.143793409231426,-4.360561836213445,-3.932859406189813,-4.240323252716069,-3.5194904907641016,-3.960571136031004,64
-3.767262199616731,-4.733576487130361,-4.848055416213046,-4.993823520522173,-3.7746534113991275,-5.020626797178538,-3.7393155973211973,-3.702552544284697,-3.7269339205608145,-3.693488123313322,-4.713168754987997,-4.6685169460264415,-4.399340869351545,-4.65713440086491,-4.154938220456941,-4.488508338726726,-3.526452620284193,-3.990032734344868,65
-3.8109851300516313,-5.032606214189509,-4.570978384391972,-4.596028728977251,-3.7960829222334045,-4.6581424244973775,-3.782167284747227,-3.710305766645847,-3.7556601745690656,-3.7083913947365224,-4.994156264900285,-4.947599019996982,-4.654888329471666,-4.953706965516378,-4.377017034724072,-4.7366934247373855,-3.533414749804284,-4.0194943326587325,66
-3.8511629580188367,-5.307390287703319,-4.3163670578536895,-4.230487569179217,-3.815774905162199,-4.325048676628206,-3.8215445110306048,-3.717430349356092,-3.7820572728469175,-3.7220862928010856,-5.2523610037386,-5.204052817699639,-4.88971572525772,-5.226233106006913,-4.581089458645216,-4.964755395666098,-3.539812382336259,-4.046567152730932,67
-3.884250581050653,-5.533683054126457,-4.106687141880984,-3.929453672874951,-3.8319918322800297,-4.050736178383003,-3.8539728150286807,-3.7232976527645296,-3.8037960596639717,-3.7333644441483718,-5.465000200428979,-5.415250062866534,-5.0831029923756494,-5.450666398175591,-4.749149101874396,-5.152571136430921,-3.5450810208920034,-4.068862416319802,68
-3.906702896679385,-5.6872388599135855,-3.96440434175665,-3.7251806718113443,-3.842996175681415,-3.8645955545737607,-3.875977735598804,-3.727279037220255,-3.81854737928983,-3.741017475419745,-5.609291083897448,-5.558562479229782,-5.214330066491385,-5.602960417861478,-4.863189574065624,-5.280017531949906,-3.5486561684834013,-4.083991345183678,69
-3.914974802437339,-5.743812051519369,-3.9119843627634743,-3.6499221977352785,-3.847050407460873,-3.7960174300124607,-3.884084811598323,-3.728745863072364,-3.8239820759940937,-3.7438370132565666,-5.662450883070043,-5.611361790521506,-5.262676883270867,-5.659068740903647,-4.905204484872918,-5.326971467141112,-3.5499733281223373,-4.089565161080896,70
-3.910762671923675,-5.7266113792271955,-3.9093278480236004,-3.6484502976876168,-3.843906512783441,-3.793252118356317,-3.880896611980251,-3.7269841541937034,-3.8217470260085156,-3.742337521088501,-5.647146417252648,-5.596622301742974,-5.251033770941828,-5.644281213531128,-4.9129113300651825,-5.3324246011424625,-3.5693036207706337,-4.105893635795742,71
-3.8987072639018074,-5.677381868873734,-3.9017247196301685,-3.6442376182408602,-3.834908469396309,-3.7853376056852848,-3.871771764797493,-3.721942021885813,-3.8153501588084127,-3.738045871090244,-5.60334398060286,-5.55443686834235,-5.217710380482854,-5.601958290361504,-4.934968852512009,-5.348031846732537,-3.624628251453687,-4.152626856531338,72
-3.879680053650427,-5.599682280243572,-3.889724601322462,-3.6375886904393533,-3.82070673826722,-3.772846025445463,-3.857369897557237,-3.7139839576408287,-3.8052538985287323,-3.731272303020705,-5.53421001432428,-5.487855039722086,-5.1651156316861595,-5.535159459816676,-4.969782532518445,-5.372664969290364,-3.711947849278749,-4.226386518174267,73
-3.8545525164482215,-5.497071373121297,-3.873877116839766,-3.62880804532744,-3.80195178036392,-3.7563495110829503,-3.8383506377666694,-3.7034744529508874,-3.7919206693044223,-3.7223270566387954,-5.442910959620508,-5.3999263652846405,-5.095658444343961,-5.446944210318545,-5.01575785038954,-5.405195734194975,-3.8272630433530663,-4.32379431561111,74
-3.8241961275738814,-5.373107907291496,-3.854731889921365,-3.6182002139494633,-3.779294056654153,-3.736420196043846,-3.8153736129329783,-3.6907779993081267,-3.775812895270429,-3.711520371703425,-5.332613257695141,-5.2937003944324665,-5.011747738248473,-5.34037203028901,-5.071300286430343,-5.444495906825402,-3.9665744627838886,-4.4414719437284536,75
-3.789482362306095,-5.231350642538756,-3.832838544306542,-3.6060697273497673,-3.753384028105663,-3.7136302137742474,-3.7890984505633503,-3.6762590882046826,-3.757393000561699,-3.6991624879735032,-5.206483349751777,-5.172226676568017,-4.915792433191908,-5.218502408149972,-5.134815320945902,-5.489437252560675,-4.1258827366784665,-4.5760410974128805,76
