C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-3.7076117052835875,-3.0363332463673176,-4.0992732406276176,-3.799809817501801,-2.98358787931022,-3.268060431362341,-3.4505522052306152,-3.8079906688992193,-3.8136754459520747,-3.441867341098806,93
-3.7089740375787317,-3.0430420093314265,-4.078232651052101,-3.769609320894462,-2.984917377521603,-3.250714588027877,-3.4581456152786862,-3.8201908811675893,-3.8058863065890844,-3.446723747635307,94
-3.710642955073839,-3.0505400011807184,-4.05473981657138,-3.738661069687229,-2.98634066779652,-3.233131028289725,-3.466170759390524,-3.832592907348761,-3.7975332852200694,-3.4520103091622167,95
-3.712335035684867,-3.058142773284474,-4.029655488627427,-3.707982905661038,-2.9879394059515874,-3.2163500687964954,-3.4742760581718866,-3.8445324102867753,-3.789084862334134,-3.4577486491469975,96
-3.713766857327771,-3.0651658770119705,-4.003840418662216,-3.6785926705968253,-2.989795247803419,-3.2014120261967975,-3.4821099322285303,-3.855345052825667,-3.7810095184203814,-3.4639603910571104,97
-3.714654997918508,-3.070924863732489,-3.9781553581177174,-3.6515082062755257,-2.991989849168632,-3.189357217139242,-3.4893208021662123,-3.8643664978094763,-3.7737757339679154,-3.4706671583600173,98
-3.7147160353730353,-3.0747352848153064,-3.9534610584359027,-3.6277473544780765,-2.994604865863841,-3.181225958272438,-3.495557088590689,-3.8709324080822385,-3.7678519894658375,-3.477890574523179,99
-3.713666547607308,-3.075912691629703,-3.9306182710587443,-3.608327956985412,-2.9977219537056605,-3.178058566244995,-3.5004672121077167,-3.8743784464879925,-3.7637067654032523,-3.4856522630140576,100
-3.7117280863539905,-3.074654510232084,-3.909639858381143,-3.5961823333885596,-3.0011209240583105,-3.1808074130161534,-3.5036814397001117,-3.8699944135120274,-3.75821825904619,-3.494585878529805,101
-3.7093176551072746,-3.0717802203449045,-3.8896403350530364,-3.591884010502305,-3.0045947697957933,-3.1889227472239705,-3.505358964989394,-3.855852473881984,-3.7491663039241163,-3.5050210271211024,102
-3.7064450094254084,-3.0675384538365162,-3.87013293089895,-3.592912640943221,-3.008244918999398,-3.2011917005352797,-3.505941598539376,-3.835461836805426,-3.738371834921286,-3.5165232592857008,103
-3.7031199048666412,-3.0621778425752724,-3.850630875743412,-3.5967478773278825,-3.0121727997504157,-3.216401404616917,-3.5058711509138734,-3.8123317114899185,-3.7276557869219573,-3.528658125521356,104
-3.6993520969892195,-3.055947018429524,-3.830647399410945,-3.6008693722728595,-3.0164798401301343,-3.233338991135715,-3.5055894326766985,-3.7899713071430225,-3.718839094810382,-3.5409911763258193,105
